"sku","storeid","cost","retail","sksinfo.zero"
5868934,509,7.0,4.37,0
3027851,5804,114.9,495.0,0
8599117,8707,34.66,30.0,0
2469776,1102,6.5,20.0,0
2178731,3002,22.5,37.5,0
2888727,1207,16.75,19.0,0
4820607,1709,10.0,29.0,0
396604,4409,13.23,19.0,0
7940176,5403,17.5,44.0,0
7324324,1402,43.0,44.5,0
4508451,8002,175.0,74.75,0
930031,1609,3.0,7.0,0
6531998,9302,54.25,150.0,0
6034231,7804,39.75,19.88,0
2253395,2109,325.0,695.0,0
11613,903,9.75,17.99,0
6069898,4003,31.6,79.0,0
7946287,4003,18.5,24.0,0
8390951,4902,26.04,70.0,0
2847793,3002,10.08,8.0,0
367759,609,20.25,14.5,0
6128691,2304,14.34,29.99,0
2089711,1404,11.85,36.0,0
9471175,7404,1.14,1.0,0
1959746,409,0.0,0.0,0
5297257,5704,24.0,52.0,0
351872,7303,37.4,89.0,0
4009934,9104,22.96,58.0,0
9398392,7707,39.75,59.62,0
4278423,2702,16.0,20.0,0
5001956,904,20.15,54.0,0
5828563,3507,13.66,21.0,0
6458459,507,39.75,59.62,0
8541586,5104,3.0,7.0,0
3813289,504,9.31,20.0,0
9321247,3204,47.0,98.0,0
6858808,9804,25.85,63.0,0
522036,2603,30.0,60.0,0
6089527,9204,18.21,49.0,0
7521674,9409,9.0,25.0,0
1347855,7102,9.0,11.99,0
1558969,3304,2.0,4.02,0
1558306,4007,6.05,20.0,0
2507714,7104,5.9,12.5,0
1488730,2303,8.1,4.5,0
9907788,3302,92.22,135.0,0
2419105,7307,13.18,38.0,0
7380579,5602,52.07,129.0,0
9569412,2502,6.6,18.0,0
7814490,1204,7.2,4.5,0
6798164,6202,14.9,19.99,1
9304329,3609,26.0,59.0,1
6189219,1502,13.46,10.0,0
4407410,6209,8.88,18.5,0
7628632,5903,9.38,18.0,0
6087645,3409,7.0,7.49,0
1667365,7104,18.21,24.5,0
6400402,709,14.75,29.5,0
7541924,4703,27.5,55.0,0
4389967,8302,2.52,2.99,0
3969657,2909,28.0,58.0,0
3258209,2603,18.23,11.0,0
8059117,3202,8.93,14.0,0
3300259,7603,32.0,68.0,0
9700111,8507,29.5,29.99,0
5978723,9303,14.5,7.25,0
4240258,7507,2.41,4.02,0
7159263,8209,23.75,39.99,0
4997902,4402,20.0,12.0,0
5990151,5204,1.95,6.0,0
6004188,4302,9.6,20.0,0
8610072,1807,23.35,78.0,0
6257667,1102,8.7,18.5,0
7467755,2102,10.5,3.99,0
7841115,5504,8.0,25.0,0
8439175,7602,16.0,17.0,0
1959330,5504,25.0,34.75,0
5526449,1403,24.75,24.75,0
9734593,7307,34.75,17.37,0
6661048,9704,2.6,7.0,0
6078668,8709,21.5,12.25,1
7311781,9603,18.5,39.0,1
9598127,1904,13.0,8.5,0
6090398,2504,2.5,7.5,0
7687431,3604,17.5,19.99,1
2241775,2702,21.5,49.0,1
3604826,9402,10.0,15.0,0
4017445,7003,12.5,14.5,0
7289869,2907,43.24,98.0,0
4327541,204,0.0,0.0,0
1096589,707,14.0,35.0,0
3957653,6104,3.09,4.5,0
4489821,5202,8.5,39.5,0
1411372,7603,31.6,79.0,0
8472786,1203,7.68,18.0,0
379473,8407,4.7,14.0,0
8570517,5503,21.5,49.0,1
2299335,7404,25.0,69.5,0
7649591,8602,13.5,32.0,0
9377912,9303,3.3,1.75,0
6849122,2102,23.4,39.0,0
5901607,809,32.0,79.0,0
9066602,8109,50.0,99.0,0
7788822,2202,10.0,39.5,0
819421,3407,13.72,42.0,0
6799562,3504,20.15,44.99,0
7478726,8102,15.0,24.0,0
639816,407,30.64,144.0,0
7656763,1602,5.5,4.0,0
